arch,model_id,method,task,sample_size,seed,accuracy,majority_baseline,collapsed,exploded,max_grad_norm_observed,trainable_params,total_params,trainable_ratio
decoder-only,Qwen/Qwen3-0.6B,ia3,mrpc,384,7,0.7205882352941176,0.6838235294117647,False,False,71.52702331542969,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,mrpc,384,13,0.7230392156862745,0.6838235294117647,False,False,97.03417205810547,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,mrpc,384,29,0.7132352941176471,0.6838235294117647,False,False,59.033348083496094,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,qnli,48,7,0.5489657697235951,0.5053999633900788,False,False,47.01652908325195,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,qnli,48,13,0.5361522972725609,0.5053999633900788,False,False,90.5274887084961,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,qnli,48,29,0.5240710232473,0.5053999633900788,False,False,35.26605987548828,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,qnli,96,7,0.5828299469156142,0.5053999633900788,False,False,70.53610229492188,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,qnli,96,13,0.581182500457624,0.5053999633900788,False,False,107.03121948242188,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,qnli,96,29,0.5464030752333883,0.5053999633900788,False,False,49.767032623291016,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,qnli,192,7,0.6144975288303131,0.5053999633900788,False,False,76.53501892089844,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,qnli,192,13,0.6018671059857221,0.5053999633900788,False,False,105.03491973876953,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,qnli,192,29,0.5897858319604613,0.5053999633900788,False,False,56.77267837524414,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,qnli,384,7,0.6615412776862529,0.5053999633900788,False,False,96.03791809082031,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,qnli,384,13,0.662639575324913,0.5053999633900788,False,False,106.52836608886719,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,qnli,384,29,0.6617243272926964,0.5053999633900788,False,False,63.77426528930664,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,rte,48,7,0.516245487364621,0.5270758122743683,True,False,77.02730560302734,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,rte,48,13,0.555956678700361,0.5270758122743683,False,False,78.0237808227539,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,rte,48,29,0.4620938628158845,0.5270758122743683,True,False,53.02349090576172,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,rte,96,7,0.5487364620938628,0.5270758122743683,False,False,74.02195739746094,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,rte,96,13,0.5703971119133574,0.5270758122743683,False,False,78.52423095703125,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,rte,96,29,0.48014440433212996,0.5270758122743683,True,False,49.021148681640625,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,rte,192,7,0.5667870036101083,0.5270758122743683,False,False,91.53001403808594,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,rte,192,13,0.5956678700361011,0.5270758122743683,False,False,106.02655029296875,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,rte,192,29,0.5234657039711191,0.5270758122743683,True,False,58.52045822143555,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,rte,384,7,0.5848375451263538,0.5270758122743683,False,False,106.5342788696289,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,rte,384,13,0.631768953068592,0.5270758122743683,False,False,98.02953338623047,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,rte,384,29,0.5415162454873647,0.5270758122743683,False,False,73.0238037109375,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,sst2,48,7,0.5080275229357798,0.5091743119266054,True,False,87.52352905273438,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,sst2,48,13,0.5206422018348624,0.5091743119266054,False,False,32.75952911376953,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,sst2,48,29,0.536697247706422,0.5091743119266054,False,False,53.26354217529297,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,sst2,96,7,0.5424311926605505,0.5091743119266054,False,False,72.02165222167969,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,sst2,96,13,0.6330275229357798,0.5091743119266054,False,False,40.26250457763672,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,sst2,96,29,0.5940366972477065,0.5091743119266054,False,False,53.010765075683594,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,sst2,192,7,0.5825688073394495,0.5091743119266054,False,False,98.52582550048828,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,sst2,192,13,0.6536697247706422,0.5091743119266054,False,False,51.76386260986328,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,sst2,192,29,0.7442660550458715,0.5091743119266054,False,False,54.512657165527344,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,sst2,384,7,0.7259174311926605,0.5091743119266054,False,False,84.02548217773438,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,sst2,384,13,0.7958715596330275,0.5091743119266054,False,False,70.51570129394531,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,sst2,384,29,0.7912844036697247,0.5091743119266054,False,False,52.5108642578125,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,lora,mrpc,48,7,0.6274509803921569,0.6838235294117647,True,False,62.94813537597656,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,mrpc,48,13,0.6666666666666666,0.6838235294117647,True,False,119.27256774902344,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,mrpc,48,29,0.6519607843137255,0.6838235294117647,True,False,62.339447021484375,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,mrpc,96,7,0.7107843137254902,0.6838235294117647,False,False,49.3616943359375,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,mrpc,96,13,0.6911764705882353,0.6838235294117647,False,False,118.2625732421875,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,mrpc,96,29,0.7132352941176471,0.6838235294117647,False,False,51.265655517578125,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,mrpc,192,7,0.7328431372549019,0.6838235294117647,False,False,74.03836822509766,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,mrpc,192,13,0.7254901960784313,0.6838235294117647,False,False,110.706787109375,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,mrpc,192,29,0.7475490196078431,0.6838235294117647,False,False,60.23478317260742,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,mrpc,384,7,0.7475490196078431,0.6838235294117647,False,False,71.50884246826172,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,mrpc,384,13,0.7230392156862745,0.6838235294117647,False,False,93.59769439697266,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,mrpc,384,29,0.7475490196078431,0.6838235294117647,False,False,57.104671478271484,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,qnli,48,7,0.6468973091707853,0.5053999633900788,False,False,46.02812576293945,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,qnli,48,13,0.5950942705473183,0.5053999633900788,False,False,89.01109313964844,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,qnli,48,29,0.6479956068094453,0.5053999633900788,False,False,34.79550552368164,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,qnli,96,7,0.7289035328574044,0.5053999633900788,False,False,71.1299819946289,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,qnli,96,13,0.6538531942156325,0.5053999633900788,False,False,98.02667236328125,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,qnli,96,29,0.7777777777777778,0.5053999633900788,False,False,36.09798049926758,1148928,597200896,0.001923855117591786
